957901523|01/01/2023 07:00:00 AM|WHITE ZONE|620 JONES STREET San Francisco CA|POINT(-122.41319931799995 37.78697040800006)
956646320|01/01/2023 07:01:00 AM|ON SIDEWLK|558 NATOMA STREET San Francisco CA|POINT(-122.40906177799997 37.77910669200003)
956646331|01/01/2023 07:02:00 AM|ON SIDEWLK|558 NATOMA STREET San Francisco CA|POINT(-122.40906177799997 37.77910669200003)
957217310|01/01/2023 07:21:00 AM|DRIVEWAY|630 PINE ST San Francisco CA|POINT(-122.40627225699996 37.79143759900006)
958455411|01/01/2023 07:47:00 AM|RED ZONE|850 BARNEVELD AVE San Francisco CA|POINT(-122.40697779299995 37.732514984000034)
958455422|01/01/2023 07:51:00 AM|STR CLEAN|131 GAVEN ST San Francisco CA|POINT(-122.408264713 37.733478654000066)
958455433|01/01/2023 07:52:00 AM|DBL PARK|131 GAVEN ST San Francisco CA|POINT(-122.408264713 37.733478654000066)
958455444|01/01/2023 07:54:00 AM|DBL PARK|131 GAVEN ST San Francisco CA|POINT(-122.408264713 37.733478654000066)
957901534|01/01/2023 07:54:00 AM|DRIVEWAY|1688 10TH AVENUE San Francisco CA|POINT(-122.46687466299994 37.756844374000025)
956646342|01/01/2023 08:23:00 AM|RED ZONE|326 FRIDA KAHLO WAY San Francisco CA|POINT(-122.45231397564166 37.72939999482101)
957217321|01/01/2023 08:34:00 AM|DRIVEWAY|569 POST ST San Francisco CA|POINT(-122.41114329899995 37.787939074000064)
956646353|01/01/2023 08:36:00 AM|ON SIDEWLK|53 EDINBURGH STREET San Francisco CA|POINT(-122.42687640599996 37.72800730800003)
958549362|01/01/2023 08:38:00 AM|ON SIDEWLK|16 NAPLES STREET San Francisco CA|POINT(-122.42554172799998 37.72835599000007)
957757113|01/01/2023 08:56:00 AM|OVR 18 " C|45 BANBURY DR San Francisco CA|POINT(-122.47436881399994 37.71975568700003)
957757124|01/01/2023 08:57:00 AM|NO PLATES|45 BANBURY DR San Francisco CA|POINT(-122.47436881399994 37.71975568700003)
957901545|01/01/2023 08:58:00 AM|PLATECOVER|485 2ND AVENUE San Francisco CA|POINT(-122.45989121899999 37.779654633000064)
957901556|01/01/2023 08:59:00 AM|NO PLATES|485 2ND AVENUE San Francisco CA|POINT(-122.45989121899999 37.779654633000064)
009361G|01/01/2023 09:00:00 AM|WHITE ZONE|EAST LOT San Francisco CA|POINT(-122.3636648952782 37.723629104774304)
009360G|01/01/2023 09:00:00 AM|WHITE ZONE|EAST LOT San Francisco CA|POINT(-122.3636648952782 37.723629104774304)
958455455|01/01/2023 09:09:00 AM|ON SIDEWLK|70 LIEBIG ST San Francisco CA|POINT(-122.45698367699998 37.70908477800003)
958455466|01/01/2023 09:10:00 AM|ON SIDEWLK|62 LIEBIG ST San Francisco CA|POINT(-122.45682976999996 37.70897992300007)
958549373|01/01/2023 09:19:00 AM|RED ZONE|125 ROMAIN STREET San Francisco CA|POINT(-122.44027298699996 37.75638786600007)
957901560|01/01/2023 09:22:00 AM|ON SIDEWLK|482 5TH AVE San Francisco CA|POINT(-122.46309474899999 37.77954901800007)
957217332|01/01/2023 09:30:00 AM|DRIVEWAY|3737 SCOTT ST San Francisco CA|POINT(-122.44205069399999 37.80445086200007)
PD37192260|01/01/2023 09:40:00 AM|OVR 18 " C|290 MYRTLE STREET San Francisco CA|POINT(-122.42277913881034 37.78508782292159)
957901571|01/01/2023 09:45:00 AM|DRIVEWAY|2366 31ST AVENUE San Francisco CA|POINT(-122.48858554699996 37.74314801000003)
958549384|01/01/2023 09:45:00 AM|DRIVEWAY|263 MONTEREY BOULEVARD San Francisco CA|POINT(-122.44113502099998 37.73152384400004)
958455470|01/01/2023 09:48:00 AM|DBL PARK|1291 SILVER AVE San Francisco CA|POINT(-122.41074850199999 37.730858940000076)
958455481|01/01/2023 09:49:00 AM|ON SIDEWLK|1291 SILVER AVE San Francisco CA|POINT(-122.41074850199999 37.730858940000076)
957217343|01/01/2023 09:56:00 AM|DRIVEWAY|3105 STEINER ST San Francisco CA|POINT(-122.43734887999994 37.79789443800007)
957901582|01/01/2023 10:04:00 AM|DRIVEWAY|1665 7TH AVENUE San Francisco CA|POINT(-122.46370605399994 37.757382275000055)
957217354|01/01/2023 10:09:00 AM|DRIVEWAY|2435 CHESTNUT ST San Francisco CA|POINT(-122.44346332599997 37.79989736700003)
958549395|01/01/2023 10:21:00 AM|DRIVEWAY|452 CORBETT AVE San Francisco CA|POINT(-122.44561992999996 37.757856839000056)
958549406|01/01/2023 10:31:00 AM|ON SIDEWLK|258 DORLAND STREET San Francisco CA|POINT(-122.42971713899999 37.76209129700004)
009362G|01/01/2023 10:38:00 AM|WHITE ZONE|EAST LOT San Francisco CA|POINT(-122.3636648952782 37.723629104774304)
957901593|01/01/2023 11:00:00 AM|DRIVEWAY|5339 ANZA STREET San Francisco CA|POINT(-122.50538309899997 37.77721636600006)
958549410|01/01/2023 11:14:00 AM|ON SIDEWLK|1337 RHODE ISLAND STREET San Francisco CA|POINT(-122.40141810499995 37.75280012500008)
958455492|01/01/2023 11:15:00 AM|ON SIDEWLK|801 CAPITOL AVE San Francisco CA|POINT(-122.45907691599996 37.71752091400003)
958455503|01/01/2023 11:17:00 AM|FIRE HYD|800 CAPITOL AVE San Francisco CA|POINT(-122.45906305599999 37.717521040000065)
958313930|01/01/2023 11:17:00 AM|DRIVEWAY|1315 MINNA ST San Francisco CA|POINT(-122.41918647099999 37.76800171000008)
